"year","scouting_data","county","nearby_town","growth_stage","pest_pathogen","pest_pathogen_sp","severity","field_number"
2013,"06-Aug","Franklin","","R4-R5","Pathogen","Septoria brown spot",1,1
2013,"06-Aug","Montgomery","","R2-R3","Pathogen","Frogeye leaf spot",1,1
2013,"06-Aug","Montgomery","","R2-R3","Pathogen","Septoria brown spot",1,1
2013,"05-Aug","Schuylkill","","R4","Pathogen","Frogeye leaf spot",1,1
2013,"05-Aug","Schuylkill","","R4","Pathogen","Powdery mildew",1,1
2013,"05-Aug","Schuylkill","","R4","Pathogen","Septoria brown spot",1,1
2013,"02-Aug","Elk","","R3","Pathogen","Frogeye leaf spot",1,1
2013,"02-Aug","Elk","","R3","Pathogen","Septoria brown spot",1,1
2013,"02-Aug","Mckean","","R3","Pathogen","Septoria brown spot",1,1
2013,"02-Aug","York","","R3","Pathogen","Downy mildew",1,1
2013,"02-Aug","Armstrong","","R3","Pathogen","Septoria brown spot",1,1
2013,"02-Aug","Armstrong","","R3","Pathogen","White mold",1,1
2014,"10-Aug","Bradford","","R4","Pathogen","Septoria brown spot",1,1
2014,"10-Aug","Bradford","","R4","Pathogen","Frogeye leaf spot",1,1
2014,"15-Jul","Schuylkill","","V6-R1","Pathogen","Septoria brown spot",1,1
2014,"14-Jul","Mckean","","R1","Pathogen","Frogeye leaf spot",1,1
2014,"14-Jul","Armstrong","","R1","Pathogen","Septoria brown spot",1,1
2014,"14-Jul","Lancaster","","R2-R3","Pathogen","Septoria brown spot",1,1
2014,"07-Jul","Mckean","","V5","Pathogen","Septoria brown spot",1,1
2014,"07-Jul","Mercer","","V4","Pathogen","Septoria brown spot",1,1
2014,"21-Jul","Armstrong","","R2","Pathogen","Septoria brown spot",1,1
2014,"21-Jul","Lancaster","","R2","Pathogen","Septoria brown spot",1,1
2014,"20-Jul","Bradford","","R1","Pathogen","Septoria brown spot",3,1
2014,"16-Jul","York","","R2","Pathogen","Downy mildew",1,1
2014,"23-Jun","Northumberland","","V2","Pathogen","Cercospora leaf blight",1,1
2014,"23-Jun","Union","","V1","Pathogen","Cercospora leaf blight",2,1
2014,"23-Jun","Mckean","","V2","Pathogen","Septoria brown spot",2,1
2014,"17-Jun","Lancaster","","V4","Pathogen","Frogeye leaf spot",1,1
2014,"28-Jul","Schuylkill","","R3","Pathogen","Septoria brown spot",1,1
2014,"28-Jul","Lancaster","","R3","Pathogen","Septoria brown spot",1,1
2014,"28-Jul","Mercer","","R2","Pathogen","Septoria brown spot",1,1
2014,"27-Jul","Bradford","","R2","Pathogen","Septoria brown spot",3,1
2014,"25-Jul","York","","R3","Pathogen","Downy mildew",1,1
2014,"05-Aug","Schuylkill","","R3","Pathogen","Septoria brown spot",1,1
2014,"04-Aug","Armstrong","","R3","Pathogen","Septoria brown spot",1,1
2014,"04-Aug","Mercer","","R3","Pathogen","Septoria brown spot",1,1
2014,"03-Aug","Bradford","","R3","Pathogen","Septoria brown spot",3,1
2014,"01-Aug","Potter","","R1","Pathogen","Frogeye leaf spot",2,1
2014,"01-Aug","Potter","","R1","Pathogen","Septoria brown spot",1,1
2014,"01-Aug","York","","R3","Pathogen","Downy mildew",1,1
2014,"31-Jul","Mckean","","R3","Pathogen","Septoria brown spot",2,1
2014,"31-Jul","Elk","","R2","Pathogen","Frogeye leaf spot",2,1
2014,"31-Jul","Elk","","R2","Pathogen","Septoria brown spot",1,1
2014,"07-Jul","Armstrong","","V6-V7","Pathogen","Septoria brown spot",1,1
2014,"07-Jul","Northumberland","","R1","Pathogen","Frogeye leaf spot",3,1
2014,"06-Jul","Bradford","","V4","Pathogen","Septoria brown spot",3,1
2014,"30-Jun","Mckean","","V2","Pathogen","Septoria brown spot",2,1
2014,"30-Jun","Armstrong","","V4","Pathogen","Septoria brown spot",1,1
2015,"14-Jul","Montgomery","","R2","Pathogen","Septoria brown spot",2,1
2015,"14-Jul","Montgomery","","R2","Pathogen","Soybean vein necrosis",2,1
2015,"14-Jul","Crawford","","V5-R2","Pathogen","Soybean bacterial pustule",1,1
2015,"13-Jul","Lancaster","Quarryville","R1","Pathogen","Septoria brown spot",2,1
2015,"13-Jul","Mercer","","V5-R2","Pathogen","Septoria brown spot",1,1
2015,"13-Jul","Columbia","","R1","Pathogen","Cercospora leaf blight",1,1
2015,"11-Jul","Mckean","","R1","Pathogen","Septoria brown spot",1,1
2015,"15-Jun","York","","V3","Pathogen","Septoria brown spot",1,1
2015,"15-Jun","Montgomery","","V4","Pathogen","Septoria brown spot",1,1
2015,"15-Jun","Northumberland","","V2","Pathogen","Septoria brown spot",1,1
2015,"15-Jun","Union","","VC","Pathogen","Septoria brown spot",1,1
2015,"20-Jul","Franklin","Greencastle","R3","Pathogen","Septoria brown spot",2,1
2015,"20-Jul","Franklin","Greencastle","R3","Pathogen","Frogeye leaf spot",2,1
2015,"20-Jul","Montgomery","","R3","Pathogen","Septoria brown spot",2,1
2015,"20-Jul","Lancaster","Quarryville","R3","Pathogen","Septoria brown spot",1,1
2015,"20-Jul","Crawford","","R1","Pathogen","Septoria brown spot",1,1
2015,"20-Jul","Mercer","","R2","Pathogen","Septoria brown spot",1,1
2015,"19-Jul","Mckean","","R1","Pathogen","Septoria brown spot",1,1
2015,"19-Jul","Potter","","V5","Pathogen","Septoria brown spot",1,1
2015,"19-Jul","Potter","","V5","Pathogen","Frogeye leaf spot",1,1
2015,"17-Jul","York","","R2","Pathogen","Downy mildew",1,1
2015,"17-Jul","York","","R2","Pathogen","Frogeye leaf spot",1,1
2015,"22-Jun","Northumberland","","V3","Pathogen","Septoria brown spot",1,1
2015,"22-Jun","Montgomery","","V5-V6","Pathogen","Septoria brown spot",1,1
2015,"27-Jul","Columbia","","R2","Pathogen","Septoria brown spot",4,1
2015,"27-Jul","Mercer","Quarryville","R3-R4","Pathogen","Septoria brown spot",1,1
2015,"24-Jul","York","","R3","Pathogen","Downy mildew",1,1
2015,"24-Jul","Mckean","","R2","Pathogen","Septoria brown spot",1.5,1
2015,"29-Jun","Potter","","V4","Pathogen","Soybean bacterial pustule",1,1
2015,"29-Jun","Potter","","V4","Pathogen","Cercospora leaf blight",1,1
2015,"29-Jun","Potter","","V4","Pathogen","Septoria brown spot",1,1
2015,"29-Jun","Columbia","","V1","Pathogen","Cercospora leaf blight",1,1
2015,"29-Jun","Columbia","","V1","Pathogen","Septoria brown spot",1,1
2015,"29-Jun","Northumberland","","V4","Pathogen","Septoria brown spot",2,1
2015,"29-Jun","Northumberland","","V4","Pathogen","Cercospora leaf blight",3,1
2015,"29-Jun","Mercer","","V4-V5","Pathogen","Septoria brown spot",1,1
2015,"26-Jun","Franklin","","R1-R2","Pathogen","Frogeye leaf spot",1,1
2015,"29-Jun","Crawford","","V3-V4","Pathogen","Septoria brown spot",1,1
2015,"29-Jun","Potter","","V4","Pathogen","Bacterial blight",1,1
2015,"29-Jun","Columbia","","V4","Pathogen","Cercospora leaf blight",1,1
2015,"29-Jun","Columbia","","V4","Pathogen","Septoria brown spot",1,1
2015,"29-Jun","Northumberland","","V4","Pathogen","Septoria brown spot",2,1
2015,"29-Jun","Northumberland","","V4","Pathogen","Cercospora leaf blight",3,1
2015,"29-Jun","Mercer","","V4-V5","Pathogen","Septoria brown spot",1,1
2015,"26-Jun","Franklin","","V2","Pathogen","Frogeye leaf spot",1,1
2015,"29-Jun","Crawford","","V3-V4","Pathogen","Septoria brown spot",1,1
2015,"29-Jun","Potter","","V4","Pathogen","Bacterial blight",1,1
2015,"29-Jun","Columbia","","V1","Pathogen","Cercospora leaf blight",1,1
2015,"29-Jun","Columbia","","V1","Pathogen","Septoria brown spot",1,1
2015,"29-Jun","Northumberland","","V4","Pathogen","Septoria brown spot",2,1
2015,"29-Jun","Northumberland","","V4","Pathogen","Cercospora leaf blight",3,1
2015,"26-Jun","Franklin","","R1-R2","Pathogen","Frogeye leaf spot",1,1
2016,"28-Jul","Franklin","Greencasle","R2-R3","Pathogen","Frogeye leaf spot",1,1
2016,"01-Aug","Lancaster","Manheim","R3","Pathogen","Septoria brown spot",1,1
2016,"01-Aug","Lancaster","Manheim","R3","Pathogen","Frogeye leaf spot",1,1
2016,"01-Aug","Potter","","R1","Pathogen","Phyllosticta leaf spot",1,1
2016,"01-Aug","Potter","","R1","Pathogen","Bacterial blight",1,1
2016,"01-Aug","Potter","","R1","Pathogen","Frogeye leaf spot",1,1
2016,"29-Jul","York","","R2-R3","Pathogen","Bacterial blight",2,1
2015,"24-Aug","Columbia","","R5","Pathogen","Frogeye leaf spot",3,1
2015,"24-Aug","Columbia","","R5","Pathogen","Septoria brown spot",1,1
2015,"24-Aug","Columbia","","R5","Pathogen","Cercospora leaf blight",1,1
2015,"24-Aug","Union","","R6","Pathogen","Septoria brown spot",1,1
2015,"24-Aug","Union","","R6","Pathogen","Cercospora leaf blight",1,1
2015,"21-Aug","York","","R6","Pathogen","Downy mildew",1,1
2015,"14-Aug","York","","R5","Pathogen","Downy mildew",1,1
2014,"09-Sept","Crawford","","R6","Pathogen","Septoria brown spot",1,1
2014,"09-Sept","Crawford","","R6","Pathogen","Brown stem rot",1,1
2014,"09-Sept","Crawford","","R6","Pathogen","White mold",1,1
2014,"08-Sept","Columbia","","R6","Pathogen","Septoria brown spot",1,1
2014,"08-Sept","Columbia","","R6","Pathogen","Downy mildew",1,1
2014,"08-Sept","Northumberland","","R6","Pathogen","Septoria brown spot",1,1
2014,"08-Sept","Northumberland","","R6","Pathogen","Downy mildew",1,1
2014,"08-Sept","Union","","R6","Pathogen","Septoria brown spot",1,1
2014,"08-Sept","Union","","R6","Pathogen","Downy mildew",1,1
2014,"08-Sept","Mercer","","R6","Pathogen","Septoria brown spot",1,1
2014,"08-Sept","Mercer","","R6","Pathogen","Downy mildew",1,1
2014,"08-Sept","Armstrong","","R6","Pathogen","Septoria brown spot",1,1
2014,"08-Sept","Armstrong","","R6","Pathogen","Downy mildew",1,1
2014,"08-Sept","Armstrong","","R6","Pathogen","White mold",1,1
2014,"6 Septemebr","Bradford","","R6","Pathogen","Septoria brown spot",3,1
2014,"6 Septemebr","Bradford","","R6","Pathogen","Downy mildew",1,1
2014,"05-Sept","Potter","","R4","Pathogen","Downy mildew",1,1
2014,"05-Sept","Mckean","","R5","Pathogen","Septoria brown spot",2,1
2014,"05-Sept","Elk","","R4","Pathogen","Septoria brown spot",1,1
2014,"05-Sept","Elk","","R4","Pathogen","Downy mildew",2,1
2014,"03-Sept","York","","R6","Pathogen","Downy mildew",2,1
2014,"18-Aug","Bradford","","R5","Pathogen","Septoria brown spot",3,1
2014,"18-Aug","Bradford","","R5","Pathogen","Frogeye leaf spot",1,1
2014,"18-Aug","Bradford","","R5","Pathogen","Downy mildew",1,1
2014,"21-Aug","York","","R6","Pathogen","Downy mildew",2,1
2014,"21-Aug","York","","R6","Pathogen","Sudden death syndrome",1,1
2014,"25-Aug","Bradford","","R5","Pathogen","Septoria brown spot",3,1
2014,"25-Aug","Bradford","","R5","Pathogen","Frogeye leaf spot",1,1
2014,"25-Aug","Bradford","","R5","Pathogen","Downy mildew",1,1
2014,"25-Aug","Armstrong","","R5","Pathogen","Septoria brown spot",1,1
2014,"25-Aug","Armstrong","","R5","Pathogen","Downy mildew",1,1
2014,"25-Aug","Columbia","","R5","Pathogen","Septoria brown spot",1,1
2014,"25-Aug","Columbia","","R5","Pathogen","Downy mildew",1,1
2014,"25-Aug","Northumberland","","R6","Pathogen","Septoria brown spot",1,1
2014,"25-Aug","Northumberland","","R6","Pathogen","Downy mildew",1,1
2014,"25-Aug","Mercer","","R5","Pathogen","Septoria brown spot",1,1
2014,"02-Sept","Schuylkill","","R5","Pathogen","Septoria brown spot",1,1
2014,"31-Aug","Bradford","","R6","Pathogen","Septoria brown spot",3,1
2014,"31-Aug","Bradford","","R6","Pathogen","Frogeye leaf spot",1,1
2014,"31-Aug","Bradford","","R6","Pathogen","Downy mildew",1,1
2014,"28-Aug","York","","R6","Pathogen","Downy mildew",2,1
2014,"26-Aug","Mckean","","R5","Pathogen","Septoria brown spot",3,NA
2014,"15-Sept","Mercer","","R6","Pathogen","Septoria brown spot",1,1
2014,"15-Sept","Mercer","","R6","Pathogen","Brown stem rot",2,1
2014,"12-Sept","Potter","","R5","Pathogen","Downy mildew",2,1
2014,"12-Sept","Mckean","","R5","Pathogen","Septoria brown spot",2,NA
2014,"12-Sept","Elk","","R5","Pathogen","Downy mildew",1,1
2024,"08-Jul","Potter","Ulysses","V5-V7","Pathogen","Septoria brown spot",1,1
2024,"08-Jul","Columbia","Mainville","R3","Pathogen","Septoria brown spot",1,1
2019,"09-Jul","Union","","R2","Pathogen","Septoria brown spot",1,1
2019,"08-Jul","Crawford","","V8","Pathogen","Septoria brown spot",1,1
2019,"07-Jul","Potter","","V1-V3","Pathogen","Septoria brown spot",1,1
2019,"03-Jul","Centre","","V2","Pathogen","Downy mildew",1,1
2019,"02-Jul","York","","R2","Pathogen","Bacterial pustule",1,1
2020,"08-Sept","Bulter","North woshington","R6","Pathogen","Septoria brown spot",2,1
2020,"08-Sept","Beaver","Fombell","R6","Pathogen","Cercospora leaf blight",1,1
2020,"08-Sept","Beaver","Fombell","R6","Pathogen","Frogeye leaf spot",2,1
2020,"07-Sept","Crawford","Woodcock","R6","Pathogen","Frogeye leaf spot",1,1
2020,"07-Sept","Crawford","Woodcock","R6","Pathogen","Septoria brown spot",1,1
2020,"04-Sept","Perry","","R6","Pathogen","Cercospora leaf blight",1,1
2021,"05-Jun","Blair","Williamsburg","V1","Pathogen","Septoria brown spot",1,1
2021,"04-Jun","Northumberland","Riverside","V2","Pathogen","Cercospora leaf blight",1,1
2020,"06-Jul","Crawford","Woodcock","V5-V7","Pathogen","Septoria brown spot",1,1
2020,"06-Jul","Blair","Sinking Valley","V6","Pathogen","Septoria brown spot",1,1
2020,"04-Jul","Montgomery","","V9","Pathogen","Septoria brown spot",1,1
2018,"07-Aug","Bedford","","","Pathogen","Septoria brown spot",3,1
2018,"06-Aug","Cambria","","V4","Pathogen","Septoria brown spot",3,1
2018,"06-Aug","Crawford","","R2-R3","Pathogen","Septoria brown spot",1,1
2018,"06-Aug","Mckean","","R2","Pathogen","Septoria brown spot",4,1
2018,"06-Aug","Northumberland","","R5","Pathogen","Soybean vein necrosis",1,1
2018,"06-Aug","Union","","R2","Pathogen","Downy mildew",1,1
2018,"06-Aug","Centre","","R2","Pathogen","Downy mildew",3,1
2018,"06-Aug","Centre","","R2","Pathogen","Frogeye leaf spot",1,1
2021,"06-Jul","Beaver","Fombell","V5","Pathogen","Cercospora leaf blight",2,1
2021,"06-Jul","Montgomery","Souderton","R2","Pathogen","Septoria brown spot",1,1
2021,"06-Jul","Northumberland","Riverside","R2","Pathogen","Septoria brown spot",1,1
2021,"05-Jul","Bedford","Portage","R1","Pathogen","Septoria brown spot",1,1
